央视频道,#genre#
西藏卫视,http://zgntv.icu/live/xztv.php?id=0
甘肃卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001298/index.m3u8
陕西卫视,http://180.97.247.27/zycfcdn.gdw ... 21225498/index.m3u8
云南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001223/index.m3u8
三沙卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001185/index.m3u8
三沙卫视,http://180.97.247.27:8088/livepl ... 8m/8000000/mnf.m3u8
青海卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001082/index.m3u8
吉林卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001225/index.m3u8
辽宁卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001035/index.m3u8
黑龙江卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001031/index.m3u8




少儿频道,#genre#
央视少儿,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001240/index.m3u8
卡酷少儿,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001245/index.m3u8
海南少儿,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/08984400000000060000000000000323/index.m3u8?fmmv6
内蒙古少儿,https://livestream-bt.nmtv.cn/nm ... c56&txTime=771E8800
黑龙江少儿,http://[2409:8087:1a01:df::4035]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226304/1.m3u8
重庆少儿,https://live.goodiptv.club/api/cqyx.php?id=cqseHD
山东少儿,http://150.138.8.132/00/SNM/CHANNEL00000340/index.m3u8
山东少儿,rtmp://livealone.iqilu.com/iqilu/sepdhjOF03kn
广东少儿,http://angtv.cc/jd/gdlz.php?id=gdse
广东少儿,http://183.238.218.219:9600/hls/26/index.m3u8
广东少儿,http://183.236.13.168:808/hls/59/index.m3u8
江西少儿,http://115.150.63.77:9901/tsfile/live/1062_1.m3u8
河北少儿,http://cu4.iblink.cn:8000/udp/239.253.92.174:6004
深圳少儿,http://183.238.218.219:9600/hls/30/index.m3u8
福建少儿,https://cntv.sbs/tv?auth=2310201855&id=fjse
甘肃少儿,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226289/1.m3u8
新疆少儿,https://liveplay.xjbs.com.cn/liveback/xjtvs-12.m3u8
哈哈炫动,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001232/index.m3u8
嘉佳卡通,http://angtv.cc/jd/gdlz.php?id=jjkt
嘉佳卡通,http://183.236.13.168:808/hls/60/index.m3u8
嘉佳卡通,http://183.238.218.219:9600/hls/27/index.m3u8
嘉佳卡通,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221225681/1.m3u8
金鹰卡通,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6000057BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTWDyIgRkFJBAHMhA2ayG0T0ZQXwaiVktPr6ILPKXqwOw2VoxnxHvBSRSzCCC3szSwIgrD0rUpRXeaqChwLXCf0
金鹰卡通,http://113.100.193.10:9901/tsfile/live/1003_1.m3u8
金鹰卡通,http://180.97.247.27/4309-tx.otv ... nel43025/index.m3u8
动漫秀场,http://180.97.247.27:8088/livepl ... 8m/8000000/mnf.m3u8
动漫秀场,http://180.97.247.27:8088/livepl ... 8m/8000000/mnf.m3u8



数字频道,#genre#
怀旧剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8
第一剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226959/index.m3u8
风云剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226950/index.m3u8
风云音乐,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226953/index.m3u8
世界地理,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226947/index.m3u8
乐游,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001200/index.m3u8
纪实人文,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001019/index.m3u8
北京纪实科教,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001231/index.m3u8
北京纪实科教8K,http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8
金鹰纪实,http://180.97.247.27:8088/livepl ... 8m/8000000/mnf.m3u8
求索纪录,http://[2409:8087:7001:20:1000::95]:6610/000000001000/6000000002000032052/index.m3u8?channel-id=wasusyt&Contentid=6000000002000032052&livemode=1&stbId=3
东方影视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001016/index.m3u8
欢笑剧场,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001193/index.m3u8
都市剧场,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001203/index.m3u8
CHC家庭影院,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC动作电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
凤凰资讯,http://angtv.cc/jd/gdjx.php?id=fhzx
4K超高清电影,http://r.jdshipin.com/5DWJk
峨眉电影,http://r.jdshipin.com/XIjta
峨眉电影,http://r.jdshipin.com/vFgDS
南国都市4K,https://justsometime.gztv.com/sec/shenghuos.m3u8
广州影视,https://justsometime.gztv.com/sec/yingshi.m3u8
广州影视,http://nas.jdshipin.com:8801/iptv.php?id=gzys
西藏影视文化,http://zgntv.icu/live/xztv.php?id=2
北京影视,https://iptv.luas.edu.cn/liveres ... 74c431ca/index.m3u8
精彩影视,http://zteres.sn.chinamobile.com ... &livemode=1&stbId=3
1905电影网,http://nas.jdshipin.com:8801/1905.php?id=1905dy
